address_location_name,address_line1,address_line2,address_line3,address_city,address_state,address_zip,directions,polling_hours,photo_url,id
,288 York Street,,,New Haven,CT,06511,,,,2001
,301-399 South Boulevard Drive,,,Bainbridge,GA,39819,,,,2002
,150-151 Tremont Street,,,Boston,MA,02111,,,,2003
,2395 Ingleside Avenue,,,Macon,GA,31204,,,,2004
,1007 Merchant Street,,,Ambridge,PA,15003,,,,2005
,859 Washington Avenue,,,Miami Beach,FL,33139,,,,2006
,974 Great Plain Avenue,,,Needham,MA,02492,,,,2007
,139 Lynnfield Street,,,Peabody,MA,01960,,,,2008
,180 Nassau Street,,,Princeton,NJ,08542,,,,2009
,563 Carlsbad Village Drive,,,Carlsbad,CA,92008,,,,20010
,5110-5140 Main Street,,,Buffalo,NY,14221,,,,20011
,2048 Hillside Avenue,,,New Hyde Park,NY,11040,,,,20012
,108 West 2nd Street,,,Los Angeles,CA,90012,,,,20013
,29 Godwin Avenue,,,Ridgewood,NJ,07450,,,,20014
,1093 Hemphill Avenue Northwest,,,Atlanta,GA,30318,,,,20015
,328 Boston Road,,,Billerica,MA,01821,,,,20016
,1875 South Bascom Avenue,,,Campbell,CA,95008,,,,20017
,6444-6544 Georgia 85,,,Riverdale,GA,30274,,,,20018
,443 Emerson Street,,,Palo Alto,CA,94301,,,,20019
,484 Moreland Avenue Northeast,,,Atlanta,GA,30307,,,,20020
,210 Blake Road North,,,Hopkins,MN,55343,,,,20021
,311 East State Street,,,Rockford,IL,61104,,,,20022
,1149 East Southern Avenue,,,Mesa,AZ,85204,,,,20023
,1782 Massachusetts Ave,,,Cambridge,MA,02140,,,,20024
,1101 South Joyce Street,,,Arlington,VA,22202,,,,20025
,574 Congress Street,,,Portland,ME,04101,,,,20026
,114 State Street,,,Madison,WI,53703,,,,20027
,9600-9708 West Linebaugh Avenue,,,Westchase,FL,33626,,,,20028
,3085 Jefferson Street,,,Napa,CA,94559,,,,20029
,2313 Frankford Avenue,,,Philadelphia,PA,19125,,,,20030
,2035 East North Avenue,,,Milwaukee,WI,53211,,,,20031
,110 Community Drive,,,Augusta,ME,04330,,,,20032
,114 10th Avenue,,,New York,NY,10011,,,,20033
